name,lsad,lat,lon,aland_sqmi
Holyoke city,25,40.582101,-102.297192,2.47
Hooper town,43,37.745976,-105.877735,0.252
Hotchkiss town,43,38.798992,-107.713381,0.926
Hot Sulphur Springs town,43,40.074902,-106.10317,0.769
Howard CDP,57,38.409751,-105.842407,16.741
Hudson town,43,40.091746,-104.593741,5.903
Hugo town,43,39.136179,-103.473138,0.912
Idaho Springs city,25,39.749349,-105.503759,2.384
Idalia CDP,57,39.703,-102.293978,0.091
Idledale CDP,57,39.668928,-105.243191,0.277
Ignacio town,43,37.118004,-107.637557,0.512
Iliff town,43,40.759177,-103.066102,0.191
Indian Hills CDP,57,39.629881,-105.247461,5.425
Inverness CDP,57,39.575772,-104.865395,1.13
Jackson Lake CDP,57,40.370055,-104.059173,3.06
Jamestown town,43,40.123001,-105.393143,0.574
Jansen CDP,57,37.158175,-104.550106,1.172
Joes CDP,57,39.659569,-102.678471,0.745
Johnson Village CDP,57,38.811894,-106.107112,0.299
Johnstown town,43,40.307248,-104.911205,15.437
Julesburg town,43,40.984864,-102.262708,1.512
Keenesburg town,43,40.155173,-104.56342,9.261
Ken Caryl CDP,57,39.576743,-105.113695,9.833
Kersey town,43,40.395585,-104.578334,2.239
Keystone CDP,57,39.573898,-105.934721,41.402
Kim town,43,37.247062,-103.353411,0.379
Kiowa town,43,39.343692,-104.45788,0.862
Kirk CDP,57,39.614493,-102.591419,0.156
Kit Carson town,43,38.762828,-102.795476,0.591
Kittredge CDP,57,39.659375,-105.304886,1.884
Kremmling town,43,40.056542,-106.378216,1.31
Lafayette city,25,39.994814,-105.099676,9.231
Laird CDP,57,40.081801,-102.101898,0.15
La Jara town,43,37.273524,-105.959721,0.408
La Junta city,25,37.979414,-103.547336,3.196
La Junta Gardens CDP,57,38.001349,-103.55485,0.533
Lake City town,43,38.021605,-107.310706,0.828
Lakeside town,43,39.779075,-105.057825,0.188
Lakewood city,25,39.698939,-105.117573,43.458
Lamar city,25,38.075971,-102.614723,5.215
Laporte CDP,57,40.637701,-105.143605,6.116
Larkspur town,43,39.229573,-104.885679,1.59
La Salle town,43,40.348629,-104.706105,0.979
Las Animas city,25,38.069668,-103.223229,1.626
La Veta town,43,37.508562,-105.008487,1.367
Lazear CDP,57,38.778794,-107.780411,1.602
Lazy Acres CDP,57,40.085551,-105.334372,5.289
Leadville city,25,39.247277,-106.29346,1.174
Leadville North CDP,57,39.260018,-106.31129,2.449
Lewis CDP,57,37.501715,-108.660059,3.111
Leyner CDP,57,40.051102,-105.107438,0.195
Limon town,43,39.265074,-103.685911,3.162
Lincoln Park CDP,57,38.425182,-105.213083,3.785
Littleton city,25,39.590375,-105.020084,12.619
Lochbuie town,43,40.009141,-104.726505,3.685
Loghill Village CDP,57,38.19941,-107.775343,6.213
Log Lane Village town,43,40.269734,-103.82896,0.196
Loma CDP,57,39.20751,-108.805025,10.889
Lone Tree city,25,39.530851,-104.870959,9.81
Longmont city,25,40.169853,-105.101841,29.038
Louisville city,25,39.969576,-105.143271,7.971
Louviers CDP,57,39.479866,-105.00334,1.58
Loveland city,25,40.416905,-105.063111,35.423
Lynn CDP,57,37.421909,-104.643061,0.717
Lyons town,43,40.22305,-105.268665,1.35
McClave CDP,57,38.131547,-102.850444,1.914
McCoy CDP,57,39.914382,-106.725723,0.294
Manassa town,43,37.173841,-105.937275,0.931
Mancos town,43,37.346641,-108.293841,0.638
Manitou Springs city,25,38.857539,-104.912861,3.149
Manzanola town,43,38.108758,-103.866804,0.284
Marble town,43,39.071665,-107.190749,0.36
Marvel CDP,57,37.111185,-108.126327,0.133
Matheson CDP,57,39.168316,-103.977018,1.716
Maybell CDP,57,40.518827,-108.088495,0.525
Maysville CDP,57,38.525998,-106.219426,12.42
Mead town,43,40.227002,-104.98832,15.037
Meeker town,43,40.049953,-107.894584,3.589
Meridian CDP,57,39.545684,-104.85332,2.562
Meridian Village CDP,57,39.528052,-104.825783,0.51
Merino town,43,40.483705,-103.353675,0.152
Midland CDP,57,38.846344,-105.15212,1.721
Milliken town,43,40.310509,-104.858412,13.061
Minturn town,43,39.535652,-106.381759,7.996
Moffat town,43,38.005734,-105.910118,2.122
Monte Vista city,25,37.57854,-106.149915,2.638
Montezuma town,43,39.581477,-105.86764,0.079
Montrose city,25,38.468802,-107.858914,18.891
Monument town,43,39.074406,-104.844221,6.971
Morgan Heights CDP,57,40.287492,-103.827446,0.285
Morrison town,43,39.636357,-105.205959,1.645
Mountain Meadows CDP,57,40.027039,-105.383136,1.723
Mountain View town,43,39.774776,-105.056711,0.093
Mountain Village town,43,37.932416,-107.857737,3.3
Mount Crested Butte town,43,38.908302,-106.960587,2.068
Mulford CDP,57,39.406355,-107.165987,0.668
Nathrop CDP,57,38.74874,-106.07642,0.723
Naturita town,43,38.218344,-108.566633,0.615
Nederland town,43,39.963815,-105.505864,1.48
New Castle town,43,39.577645,-107.526453,2.496
Niwot CDP,57,40.097552,-105.15828,3.996
No Name CDP,57,39.55973,-107.292787,0.179
Norrie CDP,57,39.328131,-106.656275,0.188
Northglenn city,25,39.911629,-104.982141,7.36
North La Junta CDP,57,37.999608,-103.523187,1.36
North Washington CDP,57,39.807749,-104.98004,5.196
Norwood town,43,38.128399,-108.29225,0.349
Nucla town,43,38.266687,-108.548695,0.694
Nunn town,43,40.71371,-104.788848,3.979
Oak Creek town,43,40.274024,-106.957639,0.369
Olathe town,43,38.608384,-107.9833,1.502
Olney Springs town,43,38.166274,-103.944491,0.241
Ophir town,43,37.85681,-107.831242,0.235
Orchard CDP,57,40.332001,-104.117799,0.16
Orchard City town,43,38.818125,-107.96727,11.521
Orchard Mesa CDP,57,39.037385,-108.522836,3.667
Ordway town,43,38.220899,-103.75668,0.771
Otis town,43,40.150126,-102.962138,0.413
Ouray city,25,38.027543,-107.673348,0.863
Ovid town,43,40.960755,-102.388336,0.156
Padroni CDP,57,40.781814,-103.173297,0.811
Pagosa Springs town,43,37.263422,-107.003565,5.033
Palisade town,43,39.107931,-108.35733,1.188
Palmer Lake town,43,39.115801,-104.909206,3.092
Paoli town,43,40.612764,-102.471758,0.296
Paonia town,43,38.869797,-107.592084,0.829
Parachute town,43,39.446788,-108.052083,2.281
Paragon Estates CDP,57,39.980757,-105.185187,1.676
Park Center CDP,57,38.485178,-105.226136,6.549
Parker town,43,39.505946,-104.775828,22.447
Parshall CDP,57,40.055562,-106.175995,0.299
Peetz town,43,40.961823,-103.113809,0.223
Penrose CDP,57,38.421298,-105.000395,17.846
Peoria CDP,57,39.653334,-104.136977,13.765
Perry Park CDP,57,39.260456,-104.967839,8.552
Peyton CDP,57,39.032979,-104.490402,2.297
Phippsburg CDP,57,40.230139,-106.950796,1.186
Piedra CDP,57,37.441795,-107.168427,11.621
Pierce town,43,40.647584,-104.780051,1.858
Pine Brook Hill CDP,57,40.038413,-105.307526,3.027
Pine Valley CDP,57,39.690938,-105.413228,0.823
Pitkin town,43,38.608722,-106.514918,0.258
Placerville CDP,57,38.005314,-108.039835,0.772
Platteville town,43,40.222815,-104.833572,3.122
Poncha Springs town,43,38.521109,-106.072576,3.076
Ponderosa Park CDP,57,39.398666,-104.635214,14.431
Portland CDP,57,38.089222,-107.695234,3.202
Pritchett town,43,37.370009,-102.858749,0.233
Pueblo city,25,38.269228,-104.610816,56.489
Pueblo West CDP,57,38.31583,-104.784972,49.611
Ramah town,43,39.121427,-104.167313,0.254
Rangely town,43,40.087011,-108.78326,4.383
Raymer (New Raymer) town,43,40.607957,-103.843576,0.784
Red Cliff town,43,39.509291,-106.369943,0.244
Red Feather Lakes CDP,57,40.809474,-105.578991,9.116
Redlands CDP,57,39.084956,-108.655022,12.893
Redstone CDP,57,39.180281,-107.238289,0.438
Redvale CDP,57,38.176064,-108.412508,4.68
Rico town,43,37.689086,-108.031677,0.678
Ridgway town,43,38.157178,-107.754597,1.848
Rifle city,25,39.537565,-107.770344,7.007
Rock Creek Park CDP,57,38.701068,-104.834702,0.266
Rockvale town,43,38.364425,-105.164523,2.053
Rocky Ford city,25,38.049884,-103.722102,1.679
Rollinsville CDP,57,39.923187,-105.51355,1.412
Romeo town,43,37.171822,-105.985415,0.233
Roxborough Park CDP,57,39.450614,-105.074057,9.232
Rye town,43,37.921283,-104.931935,0.094
Saddle Ridge CDP,57,40.313071,-103.802297,0.174
Saguache town,43,38.08627,-106.141053,0.394
St. Ann Highlands CDP,57,39.987297,-105.455806,1.391
St. Mary's CDP,57,39.816531,-105.647138,1.438
Salida city,25,38.529878,-105.997916,2.792
Salt Creek CDP,57,38.240693,-104.586645,0.432
San Acacio CDP,57,37.208634,-105.566638,1.257
Sanford town,43,37.257407,-105.900766,1.46
San Luis town,43,37.202375,-105.422506,0.567
Sawpit town,43,37.994717,-108.002136,0.03
Security-Widefield CDP,57,38.75113,-104.716023,12.85
Sedalia CDP,57,39.439705,-104.969909,1.363
Sedgwick town,43,40.935512,-102.525637,0.389
Segundo CDP,57,37.12252,-104.739739,0.694
Seibert town,43,39.297967,-102.869524,0.343
Seven Hills CDP,57,40.033702,-105.330748,0.489
Severance town,43,40.505141,-104.842097,9.11
Shaw Heights CDP,57,39.85753,-105.039085,0.676
Sheridan city,25,39.647757,-105.017457,2.225
Sheridan Lake town,43,38.46671,-102.294399,0.311
Sherrelwood CDP,57,39.838251,-105.002316,2.453
Sierra Ridge CDP,57,39.528591,-104.817245,0.507
Silt town,43,39.547978,-107.652736,1.683
Silver Cliff town,43,38.129203,-105.399175,15.458
Silver Plume town,43,39.695372,-105.727021,0.258
Silverthorne town,43,39.659909,-106.089107,4.061
Silverton town,43,37.810874,-107.664743,0.835
Simla town,43,39.14074,-104.08237,0.616
Smeltertown CDP,57,38.552322,-106.008417,0.146
Snowmass Village town,43,39.216878,-106.94397,27.792
Snyder CDP,57,40.330825,-103.591971,0.354
Somerset CDP,57,38.92881,-107.464992,0.19
Southern Ute CDP,57,37.074888,-107.593308,15.959
South Fork town,43,37.669186,-106.642851,2.543
Springfield town,43,37.404914,-102.618898,1.126
Starkville town,43,37.116826,-104.523296,0.073
Steamboat Springs city,25,40.475578,-106.822919,9.891
Stepping Stone CDP,57,39.514747,-104.822157,0.735
Sterling city,25,40.620487,-103.192582,7.619
Sterling Ranch CDP,57,39.493227,-105.047508,5.529
Stonegate CDP,57,39.533783,-104.799841,1.831
Stonewall Gap CDP,57,37.160473,-105.034201,1.92
Strasburg CDP,57,39.720709,-104.318187,20.805
Stratmoor CDP,57,38.771957,-104.777773,2.646
Stratton town,43,39.302884,-102.60347,0.514
Sugar City town,43,38.232773,-103.663312,0.385
Sugarloaf CDP,57,40.018875,-105.407669,2.178
Sunshine CDP,57,40.06365,-105.369584,1.73
Superior town,43,39.93119,-105.159085,3.933
Swink town,43,38.014068,-103.628162,0.28
Tabernash CDP,57,39.978763,-105.84405,4.832
Tall Timber CDP,57,40.01515,-105.349822,0.574
Telluride town,43,37.940233,-107.818152,2.211
The Pinery CDP,57,39.448396,-104.749535,10.379
Thornton city,25,39.920433,-104.941413,36.504
Timnath town,43,40.533209,-104.964501,7.308
Todd Creek CDP,57,39.978713,-104.868319,9.888
Towaoc CDP,57,37.212599,-108.726461,3.585
Towner CDP,57,38.4704,-102.080455,0.037
Trail Side CDP,57,40.24904,-103.843203,0.717
Trinidad city,25,37.173157,-104.490326,9.385
Twin Lakes CDP,57,39.822719,-105.003969,1.642
Twin Lakes CDP,57,39.103709,-106.318985,6.735
Two Buttes town,43,37.560664,-102.396556,0.248
Upper Bear Creek CDP,57,39.62688,-105.409691,3.785
Upper Witter Gulch CDP,57,39.661066,-105.426833,0.911
Vail town,43,39.63778,-106.362463,4.705
Valdez CDP,57,37.125794,-104.672861,1.608
Valmont CDP,57,40.033646,-105.207822,0.258
Vernon CDP,57,39.939552,-102.306922,1.132
Victor city,25,38.708738,-105.141887,0.287
Vilas town,43,37.373664,-102.447416,0.128
Vineland CDP,57,38.244738,-104.459866,0.566
Vona town,43,39.302119,-102.743352,0.221
